_RAJ2000,_DEJ2000,Star,RAJ2000,DEJ2000,o_Vmag,Vmag,e_Vmag,B-V,e_B-V,U-B,e_U-B,V-R,e_V-R,R-I,e_R-I,V-I,e_V-I,Nd,Omag,Emag,Jmag,Fmag,Nmag
7.9583,2.6406,PG0029+024,00 31 50,+02 38 26,5,15.267999649047852,0.009399999864399433,0.3619999885559082,0.017400000244379044,-0.18400000035762787,0.01119999960064888,0.25099998712539673,0.016100000590085983,0.3370000123977661,0.012500000186264515,0.5929999947547913,0.0066999997943639755,2,15.640000343322754,14.329999923706055,15.579999923706055,14.329999923706055,14.479999542236328
10.5208,5.1622,PG0039+049,00 42 05,+05 09 44,4,12.876999855041504,0.0020000000949949026,-0.01899999938905239,0.003000000026077032,-0.8709999918937683,0.005499999970197678,0.06700000166893005,0.0035000001080334187,0.09700000286102295,0.005499999970197678,0.164000004529953,0.0044999998062849045,3,12.119999885559082,12.930000305175781,12.109999656677246,12.930000305175781,12.350000381469727
13.3083,0.7672,92 309,00 53 14,+00 46 02,2,13.842000007629395,0.0035000001080334187,0.5130000114440918,0.00570000009611249,-0.024000000208616257,0.00279999990016222,0.32600000500679016,0.00139999995008111,0.32499998807907104,0.0035000001080334187,0.6520000100135803,0.00139999995008111,1,14.40999984741211,13.119999885559082,14.600000381469727,13.119999885559082,13.010000228881836
13.3167,0.8081,92 311,00 53 16,+00 48 29,5,10.595000267028809,0.005799999926239252,1.6380000114440918,0.0044999998062849045,1.9839999675750732,0.009800000116229057,0.8939999938011169,0.003100000089034438,0.9110000133514404,0.0044999998062849045,1.805999994277954,0.0066999997943639755,2,12.329999923706055,9.729999542236328,11.319999694824219,9.65999984741211,8.84000015258789
13.4458,0.7925,92 322,00 53 47,+00 47 33,2,12.675999641418457,0.000699999975040555,0.527999997138977,0.004900000058114529,-0.0020000000949949026,0.00279999990016222,0.3019999861717224,0.00139999995008111,0.3050000071525574,0.000699999975040555,0.6079999804496765,0.000699999975040555,1,13.329999923706055,11.960000038146973,13.470000267028809,11.960000038146973,11.770000457763672
13.5667,0.6642,92 245,00 54 16,+00 39 51,21,13.817999839782715,0.00279999990016222,1.4179999828338623,0.007899999618530273,1.1890000104904175,0.03009999915957451,0.9290000200271606,0.002400000113993883,0.9070000052452087,0.002400000113993883,1.8359999656677246,0.00279999990016222,8,15.020000457763672,12.430000305175781,15.109999656677246,12.430000305175781,11.8100004196167
13.6292,0.6708,92 248,00 54 31,+00 40 15,4,15.345999717712402,0.025499999523162842,1.128000020980835,0.01600000075995922,1.2890000343322754,0.09549999982118607,0.6899999976158142,0.0215000007301569,0.5529999732971191,0.014499999582767487,1.2450000047683716,0.017500000074505806,2,15.949999809265137,14.1899995803833,16.229999542236328,14.1899995803833,13.970000267028809
13.6417,0.6847,92 249,00 54 34,+00 41 05,17,14.324999809265137,0.004900000058114529,0.6990000009536743,0.008500000461935997,0.23999999463558197,0.01140000019222498,0.39899998903274536,0.004600000102072954,0.3700000047683716,0.006500000134110451,0.7699999809265137,0.007300000172108412,8,14.729999542236328,13.529999732971191,15.039999961853027,13.529999732971191,13.430000305175781
13.6542,0.6489,92 250,00 54 37,+00 38 56,20,13.178000450134277,0.002199999988079071,0.8140000104904175,0.0034000000450760126,0.47999998927116394,0.007400000002235174,0.44600000977516174,0.002199999988079071,0.39399999380111694,0.002199999988079071,0.8399999737739563,0.002899999963119626,9,13.90999984741211,12.350000381469727,13.979999542236328,12.350000381469727,12.220000267028809
13.6833,0.7239,92 330,00 54 44,+00 43 26,2,15.072999954223633,0.014100000262260437,0.5680000185966492,0.02969999983906746,-0.11500000208616257,0.016300000250339508,0.3310000002384186,0.030400000512599945,0.33399999141693115,0.0,0.6660000085830688,0.030400000512599945,1,15.239999771118164,14.369999885559082,15.609999656677246,14.369999885559082,14.359999656677246
13.7,0.6564,92 252,00 54 48,+00 39 23,41,14.932000160217285,0.0032999999821186066,0.5170000195503235,0.005499999970197678,-0.14000000059604645,0.008200000040233135,0.32600000500679016,0.004699999932199717,0.3319999873638153,0.007199999876320362,0.6660000085830688,0.006800000090152025,18,15.09000015258789,14.119999885559082,15.460000038146973,14.119999885559082,14.199999809265137
13.7167,0.6722,92 253,00 54 52,+00 40 20,39,14.085000038146973,0.0031999999191612005,1.13100004196167,0.006200000178068876,0.9549999833106995,0.022099999710917473,0.718999981880188,0.0027000000700354576,0.6159999966621399,0.00430000014603138,1.3370000123977661,0.004999999888241291,17,14.779999732971191,12.9399995803833,15.100000381469727,12.9399995803833,12.739999771118164
13.75,0.7369,92 335,00 55 00,+00 44 13,2,12.52299976348877,0.000699999975040555,0.671999990940094,0.00279999990016222,0.20800000429153442,0.004900000058114529,0.3799999952316284,0.0,0.33799999952316284,0.00139999995008111,0.718999981880188,0.00139999995008111,1,13.220000267028809,11.640000343322754,13.40999984741211,11.640000343322754,11.6899995803833
13.7625,0.7364,92 339,00 55 03,+00 44 11,19,15.579000473022461,0.008700000122189522,0.4490000009536743,0.011699999682605267,-0.1770000010728836,0.012600000016391277,0.3059999942779541,0.011699999682605267,0.33899998664855957,0.019700000062584877,0.6449999809265137,0.01769999973475933,8,15.609999656677246,14.90999984741211,15.90999984741211,14.90999984741211,15.0
13.7917,0.7206,92 342,00 55 10,+00 43 14,48,11.61299991607666,0.0013000000035390258,0.4359999895095825,0.0012000000569969416,-0.041999999433755875,0.002300000051036477,0.26600000262260437,0.0013000000035390258,0.27000001072883606,0.0008999999845400453,0.5379999876022339,0.0015999999595806003,34,11.890000343322754,11.630000114440918,11.800000190734863,11.619999885559082,11.539999961853027
13.7917,0.3867,92 188,00 55 10,+00 23 12,14,14.75100040435791,0.009600000455975533,1.0499999523162842,0.018699999898672104,0.7509999871253967,0.05510000139474869,0.6790000200271606,0.005100000184029341,0.5730000138282776,0.00430000014603138,1.253999948501587,0.008799999952316284,6,15.539999961853027,13.569999694824219,15.75,13.569999694824219,13.479999542236328
13.8083,0.9353,92 409,00 55 14,+00 56 07,5,10.626999855041504,0.003100000089034438,1.1380000114440918,0.0027000000700354576,1.1360000371932983,0.008500000461935997,0.734000027179718,0.002199999988079071,0.625,0.0027000000700354576,1.3609999418258667,0.0017999999690800905,3,11.84000015258789,10.050000190734863,11.170000076293945,9.989999771118164,9.510000228881836
13.8125,1.0303,92 410,00 55 15,+01 01 49,27,14.984000205993652,0.005799999926239252,0.39800000190734863,0.006399999838322401,-0.1340000033378601,0.008299999870359898,0.23899999260902405,0.005200000014156103,0.24199999868869781,0.010200000368058681,0.48399999737739563,0.011699999682605267,13,15.220000267028809,14.329999923706055,15.59000015258789,14.329999923706055,14.420000076293945
13.8167,1.0314,92 412,00 55 16,+01 01 53,27,15.03600025177002,0.005400000140070915,0.4569999873638153,0.007699999958276749,-0.15199999511241913,0.013299999758601189,0.2849999964237213,0.006899999920278788,0.30399999022483826,0.009399999864399433,0.5889999866485596,0.010599999688565731,13,15.199999809265137,14.390000343322754,15.710000038146973,14.390000343322754,14.199999809265137
13.8417,0.675,92 259,00 55 22,+00 40 30,3,14.996999740600586,0.011500000022351742,0.6420000195503235,0.021900000050663948,0.1080000028014183,0.021400000900030136,0.3700000047683716,0.019099999219179153,0.4519999921321869,0.02019999921321869,0.8209999799728394,0.014999999664723873,1,15.449999809265137,14.399999618530273,15.640000343322754,14.399999618530273,14.220000267028809
13.85,0.8519,92 345,00 55 24,+00 51 07,2,15.215999603271484,0.000699999975040555,0.7450000047683716,0.00139999995008111,0.12099999934434891,0.033900000154972076,0.4650000035762787,0.00570000009611249,0.47600001096725464,0.011300000362098217,0.9409999847412109,0.00570000009611249,1,15.520000457763672,14.420000076293945,15.960000038146973,14.420000076293945,14.220000267028809
13.8583,0.8469,92 347,00 55 26,+00 50 49,4,15.751999855041504,0.025499999523162842,0.5429999828338623,0.02800000086426735,-0.09700000286102295,0.03550000116229057,0.33899998664855957,0.029500000178813934,0.3179999887943268,0.0754999965429306,0.6579999923706055,0.09950000047683716,2,15.770000457763672,15.100000381469727,16.149999618530273,15.100000381469727,15.100000381469727
13.8708,0.6186,92 260,00 55 29,+00 37 07,9,15.071000099182129,0.008999999612569809,1.1619999408721924,0.00930000003427267,1.1150000095367432,0.04769999906420708,0.718999981880188,0.007000000216066837,0.6079999804496765,0.00570000009611249,1.3279999494552612,0.00800000037997961,4,15.449999809265137,14.119999885559082,15.579999923706055,14.119999885559082,13.970000267028809
